Tipo;Numero;Data;DataVencimento;Cliente;NIF;Artigo;Descricao;Qtd;Unidade;PU;Desconto%;IVA%;SubtotalSemIVA;TotalIVA;TotalLinha;Armazem;Vendedor;Observacoes
RG;RG 2025/9599;2025-08-31;2025-12-18;Epsilon Tech SA;PT239352816;ART033;Artigo ART033 - Lote 7889;255;L;576.21;1;13;145464.21;18910.35;164374.56;AZ01;João Silva;Ref 93984635
RG;RG 2025/0913;2025-05-07;2026-10-05;Zeta Industries Lda;PT182314634;ART015;Artigo ART015 - Lote 5573;468;M;730.59;9;13;311143.67;40448.68;351592.35;AZ05;Ana Pereira;Ref 57883243
RG;RG 2025/8794;2024-11-21;2026-09-16;Theta Group Lda;PT707440701;ART055;Artigo ART055 - Lote 1965;337;M2;1494.54;6;6;473440.38;28406.42;501846.80;AZ02;Rui Costa;Ref 14423596
FT;FT 2025/3333;2026-06-20;2025-10-02;Theta Group Lda;PT261675530;ART030;Artigo ART030 - Lote 5207;313;L;2326.55;1;23;720928.05;165813.45;886741.50;AZ01;Maria Santos;Ref 26214829
RG;RG 2025/4125;2026-01-01;2026-06-11;Beta Solutions SA;PT148750960;ART030;Artigo ART030 - Lote 8304;70;PC;1963.08;4;23;131918.98;30341.37;162260.35;AZ03;Pedro Fernandes;Ref 25348824
ND;ND 2025/9547;2026-09-14;2026-12-27;ACME Lda;PT395681866;ART040;Artigo ART040 - Lote 9737;431;PC;526.23;5;13;215464.87;28010.43;243475.30;AZ04;Ana Pereira;Ref 97643482
RG;RG 2025/4138;2024-11-14;2026-01-28;ACME Lda;PT747712739;ART015;Artigo ART015 - Lote 7051;254;L;2221.50;14;13;485264.46;63084.38;548348.84;AZ03;Sofia Martins;Ref 70451252
NC;NC 2025/9903;2026-10-24;2026-11-09;Iota Services SA;PT613377027;ART040;Artigo ART040 - Lote 3634;149;M2;372.06;1;13;54882.57;7134.73;62017.30;AZ03;Maria Santos;Ref 43100105
RG;RG 2025/0910;2024-11-06;2025-07-15;Iota Services SA;PT514300566;ART018;Artigo ART018 - Lote 5476;68;M3;2723.08;7;23;172207.58;39607.74;211815.32;AZ04;Carlos Oliveira;Ref 68689641
FT;FT 2025/5451;2024-06-07;2026-03-26;Delta Serviços Lda;PT692606080;ART030;Artigo ART030 - Lote 8424;239;PC;2734.67;2;6;640514.41;38430.86;678945.27;AZ02;Pedro Fernandes;Ref 06309935
FT;FT 2025/2510;2025-06-29;2026-09-23;Delta Serviços Lda;PT117212699;ART033;Artigo ART033 - Lote 4364;247;M;1644.18;12;23;357378.96;82197.16;439576.12;AZ01;Nuno Rodrigues;Ref 62743267
FR;FR 2025/9903;2025-04-29;2026-07-21;Theta Group Lda;PT032092375;ART012;Artigo ART012 - Lote 8785;154;KG;2998.28;9;13;420178.96;54623.26;474802.22;AZ01;Carlos Oliveira;Ref 29946578
RG;RG 2025/4074;2025-09-01;2025-12-26;Theta Group Lda;PT501295596;ART003;Artigo ART003 - Lote 6833;362;KG;1193.75;9;6;393245.13;23594.71;416839.84;AZ01;Pedro Fernandes;Ref 52387973
FR;FR 2025/5706;2025-07-02;2026-08-07;Zeta Industries Lda;PT524856171;ART015;Artigo ART015 - Lote 9206;309;M2;240.30;0;23;74252.70;17078.12;91330.82;AZ04;Maria Santos;Ref 64635244
NC;NC 2025/7355;2024-03-09;2026-06-13;Iota Services SA;PT604725009;ART021;Artigo ART021 - Lote 0987;66;PC;2979.56;14;23;169119.83;38897.56;208017.39;AZ05;Ana Pereira;Ref 12554953
NC;NC 2025/6521;2025-06-26;2026-11-23;Theta Group Lda;PT961747805;ART018;Artigo ART018 - Lote 5040;81;M3;2135.55;12;13;152222.00;19788.86;172010.86;AZ02;Catarina Lopes;Ref 15826841
FR;FR 2025/7219;2025-08-14;2026-08-21;Zeta Industries Lda;PT116047116;ART021;Artigo ART021 - Lote 7835;294;CX;2250.03;3;6;641663.56;38499.81;680163.37;AZ01;Nuno Rodrigues;Ref 89383840
NC;NC 2025/6166;2024-01-22;2025-10-16;Gama Corp;PT471660190;ART001;Artigo ART001 - Lote 1201;265;UN;1571.99;0;23;416577.35;95812.79;512390.14;AZ05;Rui Costa;Ref 34643260
NC;NC 2025/2811;2025-12-27;2025-02-03;Delta Serviços Lda;PT692292592;ART025;Artigo ART025 - Lote 3757;412;UN;2142.58;9;6;803296.09;48197.77;851493.86;AZ05;Pedro Fernandes;Ref 60309963
NC;NC 2025/4336;2025-11-22;2025-03-10;Epsilon Tech SA;PT830913828;ART040;Artigo ART040 - Lote 6982;431;KG;1729.39;15;23;633562.03;145719.27;779281.30;AZ02;Bruno Alves;Ref 65124985
RG;RG 2025/6145;2025-10-01;2026-05-17;Kappa Manufacturing Lda;PT860216466;ART030;Artigo ART030 - Lote 9482;304;CX;1764.03;12;23;471913.31;108540.06;580453.37;AZ03;Catarina Lopes;Ref 16492559
FT;FT 2025/0817;2025-02-12;2025-09-17;Kappa Manufacturing Lda;PT468846596;ART030;Artigo ART030 - Lote 9130;271;CX;2681.01;0;13;726553.71;94451.98;821005.69;AZ05;Sofia Martins;Ref 71547606
FR;FR 2025/8411;2025-09-01;2026-05-12;ACME Lda;PT198655057;ART055;Artigo ART055 - Lote 0546;332;UN;1387.04;7;6;428262.47;25695.75;453958.22;AZ02;Bruno Alves;Ref 52189727
NC;NC 2025/3813;2025-03-15;2025-12-17;Eta Consulting SA;PT441180063;ART003;Artigo ART003 - Lote 8669;433;KG;1510.31;13;6;568948.88;34136.93;603085.81;AZ03;Maria Santos;Ref 44069315
FT;FT 2025/4330;2024-10-24;2025-09-26;Gama Corp;PT722920322;ART050;Artigo ART050 - Lote 8898;403;CX;1910.51;3;6;746837.46;44810.25;791647.71;AZ05;Rui Costa;Ref 85212586
FT;FT 2025/8512;2024-09-26;2026-02-22;Delta Serviços Lda;PT461225882;ART012;Artigo ART012 - Lote 3853;36;M;1508.10;4;6;52119.94;3127.20;55247.14;AZ05;Carlos Oliveira;Ref 98890226
NC;NC 2025/3829;2025-05-11;2025-12-01;ACME Lda;PT530230155;ART015;Artigo ART015 - Lote 5430;85;L;1326.57;9;6;102610.19;6156.61;108766.80;AZ02;João Silva;Ref 74438875
FR;FR 2025/8357;2026-07-14;2025-03-10;ACME Lda;PT528012274;ART050;Artigo ART050 - Lote 9055;2;M2;86.35;7;13;160.61;20.88;181.49;AZ05;Rui Costa;Ref 11594115
FT;FT 2025/3462;2026-03-28;2026-08-13;ACME Lda;PT484761840;ART015;Artigo ART015 - Lote 5045;382;M3;2923.32;3;6;1083206.99;64992.42;1148199.41;AZ04;Carlos Oliveira;Ref 76381423
NC;NC 2025/5494;2024-02-09;2026-06-19;Theta Group Lda;PT346097660;ART012;Artigo ART012 - Lote 4126;450;UN;2361.11;1;23;1051874.50;241931.14;1293805.64;AZ05;Bruno Alves;Ref 73361536
FR;FR 2025/8785;2024-12-28;2026-10-08;Delta Serviços Lda;PT282651923;ART030;Artigo ART030 - Lote 0034;300;M2;2041.77;2;13;600280.38;78036.45;678316.83;AZ01;Pedro Fernandes;Ref 27261481
NC;NC 2025/1966;2026-07-31;2025-04-18;Gama Corp;PT652295492;ART012;Artigo ART012 - Lote 4380;307;M2;1999.62;0;6;613883.34;36833.00;650716.34;AZ04;Pedro Fernandes;Ref 60859674
RG;RG 2025/0296;2026-04-19;2026-05-12;Kappa Manufacturing Lda;PT674582152;ART001;Artigo ART001 - Lote 1887;273;KG;1320.29;13;13;313582.08;40765.67;354347.75;AZ02;Catarina Lopes;Ref 31698022
ND;ND 2025/9259;2026-02-21;2025-10-20;Iota Services SA;PT816977741;ART018;Artigo ART018 - Lote 7776;160;M;890.96;13;23;124021.63;28524.97;152546.60;AZ05;Carlos Oliveira;Ref 51802905
NC;NC 2025/1658;2026-06-17;2026-05-08;ACME Lda;PT831934579;ART040;Artigo ART040 - Lote 0062;331;KG;1538.41;14;6;437923.79;26275.43;464199.22;AZ03;João Silva;Ref 67889753
ND;ND 2025/9047;2024-08-26;2025-03-15;ACME Lda;PT559240578;ART033;Artigo ART033 - Lote 8328;102;L;706.79;2;23;70650.73;16249.67;86900.40;AZ03;Rui Costa;Ref 99578703
NC;NC 2025/5877;2025-10-22;2026-07-28;Theta Group Lda;PT206001459;ART018;Artigo ART018 - Lote 9541;16;L;1470.77;14;23;20237.80;4654.69;24892.49;AZ03;Pedro Fernandes;Ref 59159831
RG;RG 2025/4541;2024-08-04;2026-04-27;ACME Lda;PT839696928;ART012;Artigo ART012 - Lote 7092;234;M;2589.80;15;6;515111.22;30906.67;546017.89;AZ03;Pedro Fernandes;Ref 26024970
FR;FR 2025/7663;2025-07-18;2026-10-22;Kappa Manufacturing Lda;PT072538708;ART030;Artigo ART030 - Lote 5354;363;PC;1102.03;11;6;356032.83;21361.97;377394.80;AZ02;Carlos Oliveira;Ref 32757397
ND;ND 2025/6969;2026-09-23;2025-06-05;Gama Corp;PT081476886;ART040;Artigo ART040 - Lote 5588;352;KG;2603.06;11;6;815486.64;48929.20;864415.84;AZ01;Maria Santos;Ref 82106434
FR;FR 2025/2809;2026-04-04;2026-04-18;Epsilon Tech SA;PT556571975;ART007;Artigo ART007 - Lote 7515;6;L;1770.28;1;23;10515.46;2418.56;12934.02;AZ05;Carlos Oliveira;Ref 91081626
RG;RG 2025/7106;2024-09-06;2025-03-07;Zeta Industries Lda;PT385741193;ART045;Artigo ART045 - Lote 0513;266;PC;1505.37;2;6;392419.85;23545.19;415965.04;AZ03;Catarina Lopes;Ref 00046828
NC;NC 2025/9961;2026-12-28;2025-11-04;Beta Solutions SA;PT182553411;ART021;Artigo ART021 - Lote 2244;395;L;338.51;11;6;119003.19;7140.19;126143.38;AZ03;Ana Pereira;Ref 28682518
FT;FT 2025/6397;2024-09-20;2025-09-07;Theta Group Lda;PT554995679;ART002;Artigo ART002 - Lote 6946;11;PC;1080.52;9;13;10816.01;1406.08;12222.09;AZ03;Carlos Oliveira;Ref 09056725
FR;FR 2025/8491;2026-03-12;2026-05-29;Eta Consulting SA;PT751644531;ART030;Artigo ART030 - Lote 5290;335;M;856.51;5;13;272584.31;35435.96;308020.27;AZ03;Maria Santos;Ref 32219326
FR;FR 2025/8669;2026-01-12;2025-09-13;Epsilon Tech SA;PT840116765;ART003;Artigo ART003 - Lote 3802;229;CX;2700.49;0;6;618412.21;37104.73;655516.94;AZ05;Rui Costa;Ref 52304444
FT;FT 2025/6599;2024-05-17;2025-09-28;Zeta Industries Lda;PT078573276;ART025;Artigo ART025 - Lote 8890;388;M;528.77;8;6;188749.74;11324.98;200074.72;AZ05;Nuno Rodrigues;Ref 57423283
FR;FR 2025/3779;2026-08-02;2026-10-01;Epsilon Tech SA;PT274097106;ART001;Artigo ART001 - Lote 4147;295;KG;1813.18;4;23;513492.58;118103.29;631595.87;AZ04;Maria Santos;Ref 54043314
FR;FR 2025/9185;2025-02-20;2025-08-01;Beta Solutions SA;PT112498354;ART018;Artigo ART018 - Lote 7158;427;PC;1063.25;0;23;454007.75;104421.78;558429.53;AZ01;João Silva;Ref 48215462
ND;ND 2025/8367;2025-03-02;2025-08-11;Epsilon Tech SA;PT493780359;ART030;Artigo ART030 - Lote 4129;358;M;1831.52;0;6;655684.16;39341.05;695025.21;AZ05;Carlos Oliveira;Ref 93944889
NC;NC 2025/0346;2026-03-22;2025-12-12;Zeta Industries Lda;PT644538624;ART040;Artigo ART040 - Lote 1493;11;UN;2156.72;13;23;20639.81;4747.16;25386.97;AZ02;Carlos Oliveira;Ref 91860872
FT;FT 2025/1380;2024-10-17;2025-10-11;Zeta Industries Lda;PT929192495;ART033;Artigo ART033 - Lote 4700;238;L;559.38;14;23;114493.90;26333.60;140827.50;AZ04;Ana Pereira;Ref 46484046
ND;ND 2025/3486;2026-02-28;2025-04-20;Theta Group Lda;PT595091900;ART021;Artigo ART021 - Lote 0575;17;CX;2989.48;15;23;43197.99;9935.54;53133.53;AZ03;Rui Costa;Ref 67446759
RG;RG 2025/5747;2025-05-20;2026-11-15;Zeta Industries Lda;PT910646774;ART001;Artigo ART001 - Lote 4881;247;CX;2909.20;6;23;675458.06;155355.35;830813.41;AZ01;Rui Costa;Ref 73092407
NC;NC 2025/8956;2026-07-07;2026-06-05;Kappa Manufacturing Lda;PT362633649;ART030;Artigo ART030 - Lote 5198;3;PC;2718.43;10;6;7339.76;440.39;7780.15;AZ04;Carlos Oliveira;Ref 84418458
NC;NC 2025/9633;2025-03-23;2026-01-24;Eta Consulting SA;PT405864823;ART040;Artigo ART040 - Lote 3788;467;M2;2290.11;3;6;1037396.93;62243.82;1099640.75;AZ04;Ana Pereira;Ref 06343581
FR;FR 2025/5159;2024-02-25;2026-01-21;Beta Solutions SA;PT643616305;ART018;Artigo ART018 - Lote 2766;176;M2;1053.25;0;13;185372.00;24098.36;209470.36;AZ04;Pedro Fernandes;Ref 83698261
NC;NC 2025/3184;2024-03-22;2025-08-11;Eta Consulting SA;PT400402607;ART021;Artigo ART021 - Lote 8942;389;M;819.87;2;13;312550.84;40631.61;353182.45;AZ02;Sofia Martins;Ref 46578048
FR;FR 2025/7088;2024-08-27;2025-11-25;Zeta Industries Lda;PT074288353;ART002;Artigo ART002 - Lote 4045;436;M3;262.53;3;23;111029.19;25536.71;136565.90;AZ04;Maria Santos;Ref 25283262
NC;NC 2025/2376;2026-03-26;2025-10-12;Delta Serviços Lda;PT305455136;ART012;Artigo ART012 - Lote 6642;204;CX;2648.67;14;23;464682.66;106877.01;571559.67;AZ04;Carlos Oliveira;Ref 52739667
NC;NC 2025/4711;2026-03-18;2025-11-19;Gama Corp;PT381663687;ART040;Artigo ART040 - Lote 6203;408;KG;2599.80;6;13;997075.30;129619.79;1126695.09;AZ03;Rui Costa;Ref 13565976
ND;ND 2025/1029;2024-01-21;2026-07-09;Delta Serviços Lda;PT959730587;ART033;Artigo ART033 - Lote 4458;207;KG;1001.00;2;6;203062.86;12183.77;215246.63;AZ03;Bruno Alves;Ref 14206050
FT;FT 2025/6399;2024-10-14;2026-12-10;Iota Services SA;PT507528001;ART055;Artigo ART055 - Lote 0181;395;KG;1584.79;0;23;625992.05;143978.17;769970.22;AZ02;Sofia Martins;Ref 45698256
RG;RG 2025/7209;2024-05-24;2026-01-16;Gama Corp;PT793708640;ART055;Artigo ART055 - Lote 3412;22;M3;1858.77;11;23;36394.72;8370.79;44765.51;AZ04;Bruno Alves;Ref 14647582
FT;FT 2025/4034;2026-12-10;2026-06-19;Epsilon Tech SA;PT921009913;ART012;Artigo ART012 - Lote 0970;499;M2;1267.66;0;23;632562.34;145489.34;778051.68;AZ02;Sofia Martins;Ref 02152290
ND;ND 2025/4448;2024-01-05;2025-08-27;Epsilon Tech SA;PT262767746;ART040;Artigo ART040 - Lote 1215;217;M3;2026.92;9;6;400255.89;24015.35;424271.24;AZ02;Nuno Rodrigues;Ref 29513535
FT;FT 2025/5594;2024-05-23;2025-10-20;Theta Group Lda;PT243415075;ART025;Artigo ART025 - Lote 1644;219;M2;260.52;8;13;52489.57;6823.64;59313.21;AZ02;João Silva;Ref 58901449
NC;NC 2025/3031;2026-01-07;2026-06-17;Theta Group Lda;PT338679945;ART015;Artigo ART015 - Lote 5385;368;KG;2207.06;7;6;755344.21;45320.65;800664.86;AZ03;João Silva;Ref 28489683
NC;NC 2025/5920;2025-05-29;2026-11-28;Theta Group Lda;PT567242106;ART002;Artigo ART002 - Lote 5891;187;CX;1515.12;12;6;249328.15;14959.69;264287.84;AZ04;Rui Costa;Ref 37870619
FR;FR 2025/5834;2025-05-19;2026-08-16;Epsilon Tech SA;PT769934449;ART021;Artigo ART021 - Lote 6975;100;PC;1037.23;14;23;89201.78;20516.41;109718.19;AZ03;Sofia Martins;Ref 39480456
ND;ND 2025/8584;2024-11-25;2026-05-03;Zeta Industries Lda;PT403827647;ART040;Artigo ART040 - Lote 2125;469;PC;657.58;2;23;302236.92;69514.49;371751.41;AZ04;Nuno Rodrigues;Ref 39361071
NC;NC 2025/4915;2025-01-14;2026-06-12;Kappa Manufacturing Lda;PT635778925;ART001;Artigo ART001 - Lote 2629;2;KG;1695.51;1;13;3357.11;436.42;3793.53;AZ01;João Silva;Ref 95739082
FT;FT 2025/1803;2025-03-14;2026-10-19;Epsilon Tech SA;PT197700640;ART030;Artigo ART030 - Lote 2863;298;L;1708.31;10;6;458168.74;27490.12;485658.86;AZ01;Rui Costa;Ref 54809164
NC;NC 2025/0670;2024-03-28;2026-09-16;Delta Serviços Lda;PT767311005;ART002;Artigo ART002 - Lote 1629;162;M3;1050.28;13;23;148026.46;34046.09;182072.55;AZ02;Pedro Fernandes;Ref 97724165
FT;FT 2025/3843;2026-08-01;2026-06-18;ACME Lda;PT569624471;ART007;Artigo ART007 - Lote 0121;401;L;741.73;10;13;267690.36;34799.75;302490.11;AZ04;Pedro Fernandes;Ref 06827773
ND;ND 2025/7022;2026-02-22;2025-02-06;Eta Consulting SA;PT098252241;ART030;Artigo ART030 - Lote 9323;422;CX;71.95;13;23;26415.72;6075.62;32491.34;AZ04;Nuno Rodrigues;Ref 85771297
ND;ND 2025/6321;2024-12-22;2026-04-09;Zeta Industries Lda;PT800459754;ART007;Artigo ART007 - Lote 3899;175;KG;2958.22;14;13;445212.11;57877.57;503089.68;AZ02;Ana Pereira;Ref 14969668
FR;FR 2025/4651;2025-01-02;2025-11-13;Gama Corp;PT894698402;ART002;Artigo ART002 - Lote 9440;37;L;773.33;3;23;27754.81;6383.61;34138.42;AZ03;Nuno Rodrigues;Ref 62451245
ND;ND 2025/0018;2026-11-10;2025-06-07;Eta Consulting SA;PT946116695;ART040;Artigo ART040 - Lote 6999;190;L;632.03;3;23;116483.13;26791.12;143274.25;AZ02;Bruno Alves;Ref 13466660
ND;ND 2025/4511;2024-04-14;2026-02-27;Gama Corp;PT856355875;ART045;Artigo ART045 - Lote 9629;360;M2;2981.99;11;23;955429.60;219748.81;1175178.41;AZ01;Nuno Rodrigues;Ref 02273122
ND;ND 2025/6283;2024-07-11;2025-11-04;Zeta Industries Lda;PT599445729;ART003;Artigo ART003 - Lote 5483;142;UN;1054.32;14;13;128753.56;16737.96;145491.52;AZ04;Rui Costa;Ref 39894798
NC;NC 2025/7274;2026-11-29;2026-02-07;Eta Consulting SA;PT654425667;ART021;Artigo ART021 - Lote 5790;45;M3;1671.74;0;13;75228.30;9779.68;85007.98;AZ03;Pedro Fernandes;Ref 88734210
RG;RG 2025/9983;2024-09-11;2025-01-04;Kappa Manufacturing Lda;PT383596358;ART030;Artigo ART030 - Lote 7501;70;M2;752.07;7;6;48959.76;2937.59;51897.35;AZ01;Bruno Alves;Ref 49660323
ND;ND 2025/7851;2026-02-24;2026-07-28;Beta Solutions SA;PT640685188;ART012;Artigo ART012 - Lote 2250;383;KG;1170.77;9;6;408048.47;24482.91;432531.38;AZ01;Ana Pereira;Ref 76364316
FR;FR 2025/7259;2024-06-11;2025-06-07;Iota Services SA;PT601794854;ART018;Artigo ART018 - Lote 8419;161;CX;1115.91;5;6;170678.43;10240.71;180919.14;AZ05;Bruno Alves;Ref 24931976
FT;FT 2025/1607;2024-07-24;2025-02-22;Beta Solutions SA;PT673159306;ART018;Artigo ART018 - Lote 2049;145;KG;2367.52;8;6;315827.17;18949.63;334776.80;AZ05;Nuno Rodrigues;Ref 60740337
RG;RG 2025/7487;2024-05-01;2025-12-29;Gama Corp;PT462517145;ART025;Artigo ART025 - Lote 8445;424;M;1503.10;8;13;586329.25;76222.80;662552.05;AZ01;Nuno Rodrigues;Ref 27889983
ND;ND 2025/6081;2025-06-05;2026-11-11;Zeta Industries Lda;PT697177467;ART033;Artigo ART033 - Lote 5910;428;CX;849.17;7;6;338003.63;20280.22;358283.85;AZ04;Bruno Alves;Ref 59522844
RG;RG 2025/8650;2025-06-10;2026-07-10;Gama Corp;PT351430596;ART030;Artigo ART030 - Lote 6359;88;CX;84.76;12;13;6563.81;853.30;7417.11;AZ03;Nuno Rodrigues;Ref 17582916
RG;RG 2025/1046;2026-07-16;2025-02-15;Iota Services SA;PT139207625;ART025;Artigo ART025 - Lote 0461;488;PC;1591.33;8;23;714443.52;164322.01;878765.53;AZ05;Bruno Alves;Ref 22541090
RG;RG 2025/6799;2024-09-05;2025-11-13;Eta Consulting SA;PT720695312;ART030;Artigo ART030 - Lote 4489;287;KG;2045.63;4;23;563611.98;129630.76;693242.74;AZ03;Sofia Martins;Ref 51981165
FT;FT 2025/4150;2024-02-21;2025-07-27;Eta Consulting SA;PT097274982;ART012;Artigo ART012 - Lote 7602;403;PC;181.32;4;13;70149.08;9119.38;79268.46;AZ03;Ana Pereira;Ref 24579530
RG;RG 2025/6415;2024-12-19;2025-12-05;Zeta Industries Lda;PT574375983;ART001;Artigo ART001 - Lote 9949;418;KG;1453.42;9;23;552851.90;127155.94;680007.84;AZ02;Pedro Fernandes;Ref 53818143
FR;FR 2025/1660;2024-01-18;2026-06-01;ACME Lda;PT380652716;ART055;Artigo ART055 - Lote 6759;418;M2;2974.64;14;13;1069323.59;139012.07;1208335.66;AZ05;Maria Santos;Ref 51841426
NC;NC 2025/2969;2025-08-01;2026-03-17;ACME Lda;PT188224883;ART018;Artigo ART018 - Lote 1069;257;M2;2531.46;4;6;624561.81;37473.71;662035.52;AZ03;Sofia Martins;Ref 51630776
NC;NC 2025/4367;2025-05-29;2026-10-26;Zeta Industries Lda;PT807227463;ART018;Artigo ART018 - Lote 5701;132;M;101.11;3;13;12946.12;1683.00;14629.12;AZ02;João Silva;Ref 90720455
NC;NC 2025/8683;2025-02-17;2025-08-23;Gama Corp;PT995199445;ART040;Artigo ART040 - Lote 9808;454;L;1988.53;6;6;848625.06;50917.50;899542.56;AZ01;Carlos Oliveira;Ref 57848386
RG;RG 2025/0047;2026-04-04;2025-10-07;Beta Solutions SA;PT615423642;ART001;Artigo ART001 - Lote 0024;239;UN;2708.78;4;6;621502.48;37290.15;658792.63;AZ03;João Silva;Ref 40359856
FT;FT 2025/7913;2026-05-01;2025-10-11;Beta Solutions SA;PT756710319;ART040;Artigo ART040 - Lote 9276;206;L;1659.84;7;13;317992.15;41338.98;359331.13;AZ05;Maria Santos;Ref 90835728
ND;ND 2025/6098;2026-10-17;2025-02-09;Theta Group Lda;PT143189613;ART012;Artigo ART012 - Lote 0455;172;M;1418.09;4;23;234155.02;53855.65;288010.67;AZ04;Carlos Oliveira;Ref 17339431
NC;NC 2025/7201;2025-09-08;2025-02-03;Gama Corp;PT144427938;ART007;Artigo ART007 - Lote 8562;335;L;309.36;7;6;96381.11;5782.87;102163.98;AZ03;Catarina Lopes;Ref 22880714
RG;RG 2025/3700;2024-01-30;2025-09-21;Delta Serviços Lda;PT092823064;ART002;Artigo ART002 - Lote 3382;226;M2;539.17;11;23;108448.65;24943.19;133391.84;AZ02;Pedro Fernandes;Ref 35417689
RG;RG 2025/6043;2025-09-06;2025-02-08;Kappa Manufacturing Lda;PT422296769;ART025;Artigo ART025 - Lote 6044;476;PC;2194.74;5;6;992461.43;59547.69;1052009.12;AZ02;Carlos Oliveira;Ref 94655577
ND;ND 2025/3530;2025-01-11;2025-01-23;Eta Consulting SA;PT524858942;ART007;Artigo ART007 - Lote 6848;365;CX;603.38;2;13;215829.03;28057.77;243886.80;AZ02;Rui Costa;Ref 48100343
FT;FT 2025/3216;2026-02-09;2025-11-27;Iota Services SA;PT716244411;ART012;Artigo ART012 - Lote 3967;342;CX;238.34;12;23;71730.81;16498.09;88228.90;AZ03;João Silva;Ref 68376061
RG;RG 2025/8351;2026-08-25;2025-06-19;Gama Corp;PT566430592;ART030;Artigo ART030 - Lote 8979;165;KG;1351.95;11;6;198533.86;11912.03;210445.89;AZ03;Nuno Rodrigues;Ref 58604983
RG;RG 2025/9052;2026-08-25;2025-01-08;Theta Group Lda;PT037826006;ART007;Artigo ART007 - Lote 7212;49;M3;1709.69;13;23;72884.08;16763.34;89647.42;AZ03;Sofia Martins;Ref 61832697
NC;NC 2025/7142;2025-06-24;2026-05-12;Epsilon Tech SA;PT677940338;ART001;Artigo ART001 - Lote 0298;393;M;959.16;0;13;376949.88;49003.48;425953.36;AZ02;Pedro Fernandes;Ref 07081875
FR;FR 2025/6257;2024-12-02;2026-08-11;Delta Serviços Lda;PT079677625;ART003;Artigo ART003 - Lote 9363;492;UN;1352.05;6;23;625296.08;143818.10;769114.18;AZ03;Rui Costa;Ref 36998507
NC;NC 2025/3750;2026-04-02;2025-08-13;Kappa Manufacturing Lda;PT333641857;ART055;Artigo ART055 - Lote 4519;478;M3;1130.77;10;13;486457.25;63239.44;549696.69;AZ04;Rui Costa;Ref 74155101
NC;NC 2025/4819;2026-12-24;2026-04-08;Zeta Industries Lda;PT952280931;ART002;Artigo ART002 - Lote 8331;241;PC;1479.74;7;13;331654.13;43115.04;374769.17;AZ03;Carlos Oliveira;Ref 63612537
FT;FT 2025/7347;2025-06-24;2026-05-16;Eta Consulting SA;PT619773844;ART045;Artigo ART045 - Lote 8221;402;M3;2091.73;9;23;765196.67;175995.23;941191.90;AZ01;João Silva;Ref 29724361
FR;FR 2025/3598;2025-11-21;2026-09-01;Eta Consulting SA;PT160869827;ART003;Artigo ART003 - Lote 4917;11;L;130.47;12;6;1262.95;75.78;1338.73;AZ03;Maria Santos;Ref 19434242
ND;ND 2025/1989;2026-11-07;2026-04-20;Kappa Manufacturing Lda;PT888041896;ART002;Artigo ART002 - Lote 1919;36;M3;440.38;0;6;15853.68;951.22;16804.90;AZ01;Sofia Martins;Ref 18874765
ND;ND 2025/4859;2025-05-22;2025-07-06;ACME Lda;PT202908160;ART055;Artigo ART055 - Lote 2586;336;L;225.44;4;13;72717.93;9453.33;82171.26;AZ01;Rui Costa;Ref 03267880
ND;ND 2025/2205;2026-01-25;2026-09-16;Epsilon Tech SA;PT187898591;ART045;Artigo ART045 - Lote 2129;126;PC;1003.65;12;23;111284.71;25595.48;136880.19;AZ05;Carlos Oliveira;Ref 44966775
FT;FT 2025/7623;2025-04-10;2026-06-09;Beta Solutions SA;PT057823838;ART045;Artigo ART045 - Lote 7148;175;KG;208.21;7;6;33886.18;2033.17;35919.35;AZ01;Nuno Rodrigues;Ref 77125429
ND;ND 2025/1822;2026-09-08;2026-04-21;ACME Lda;PT992287855;ART007;Artigo ART007 - Lote 4272;391;UN;937.51;11;6;326244.10;19574.65;345818.75;AZ05;Ana Pereira;Ref 71392338
FR;FR 2025/9780;2026-03-05;2025-01-25;Eta Consulting SA;PT491459236;ART030;Artigo ART030 - Lote 6846;119;M2;939.30;8;23;102834.56;23651.95;126486.51;AZ03;Nuno Rodrigues;Ref 46078250
FR;FR 2025/0851;2024-07-16;2025-10-11;Beta Solutions SA;PT833272501;ART015;Artigo ART015 - Lote 2552;479;M;2026.70;10;6;873710.37;52422.62;926132.99;AZ05;Bruno Alves;Ref 79679208
FT;FT 2025/9662;2025-01-10;2025-10-04;Beta Solutions SA;PT102312347;ART015;Artigo ART015 - Lote 5685;248;KG;2152.77;2;13;523209.22;68017.20;591226.42;AZ05;Sofia Martins;Ref 10885036
NC;NC 2025/6807;2026-08-12;2026-09-17;Iota Services SA;PT806205215;ART018;Artigo ART018 - Lote 4659;396;M;1561.31;13;13;537902.52;69927.33;607829.85;AZ02;Catarina Lopes;Ref 35684454
FT;FT 2025/2716;2025-04-05;2026-10-22;ACME Lda;PT790352837;ART025;Artigo ART025 - Lote 5132;106;PC;2699.72;8;6;263276.69;15796.60;279073.29;AZ04;Catarina Lopes;Ref 37667228
FR;FR 2025/3670;2025-05-27;2026-12-12;Beta Solutions SA;PT242243238;ART033;Artigo ART033 - Lote 9801;151;UN;1939.79;12;13;257759.30;33508.71;291268.01;AZ02;Carlos Oliveira;Ref 52130355
